Simplified protein IDs	Gene name	MitoCoP disease association	Functional MitoCoP classification	MitoCoP	MitoCoP identified/ validated	MitoCoP identified	MitoCoP validated	MitoCoP disease gene	References	UniProt: involvement in disease	DisGeNET disease ID (curated associations)	OMIM	Phenotype MIM number	Half-live (HeLa) [h]	Half-life (Hu7) h	tomm40 Importomics	Mean Log2 Ratio tomm40KD/mock	p-Value	Mean mito-copies per cell (≥2/3 Reps)	Mean copy numbers per cell (≥2/3 Reps)	Category	Integral [%]	Membrane-associated [%]
Q9NSK7	C19orf12	Central nervous system;Ophthalmic system;Peripheral nervous system;Skeletal system	Unknown	1				1	"Hartig, M. B., Iuso, A., Haack, T., Kmiec, T., Jurkiewicz, E., Heim, K., Roeber, S., Tarabin, V., Dusi, S., Krajewska-Walasek, M., Jozwiak, S., Hempel, M., Winkelmann, J., Elstner, M., Oexle, K., Klopstock, T., Mueller-Felber, W., Gasser, T., Trenkwalder, C., Tiranti, V., Kretzschmar, H., Schmitz, G., Strom, T. M., Meitinger, T., and Prokisch, H. (2011) Absence of an orphan mitochondrial protein, c19orf12, causes a distinct clinical subtype of neurodegeneration with brain iron accumulation. Am. J. Hum. Genet. 89, 543-550"	"DISEASE: Neurodegeneration with brain iron accumulation 4 (NBIA4) [MIM:614298]: A neurodegenerative disorder associated with iron accumulation in the brain, primarily in the basal ganglia. NBIA4 results in speech difficulty, extrapyramidal signs, oromandibular and generalized dystonia, and parkinsonism. Most patients have progressive involvement of the corticospinal tract, with spasticity, hyperreflexia, and extensor plantar responses. {ECO:0000269|PubMed:21981780, ECO:0000269|PubMed:22508347, ECO:0000269|PubMed:22584950, ECO:0000269|PubMed:22704260, ECO:0000269|PubMed:23269600, ECO:0000269|PubMed:23278385, ECO:0000269|PubMed:23521069, ECO:0000269|PubMed:23857908, ECO:0000269|PubMed:25592411, ECO:0000269|PubMed:26136767, ECO:0000269|PubMed:26187298}. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Spastic paraplegia 43, autosomal recessive (SPG43) [MIM:615043]: A form of spastic paraplegia, a neurodegenerative disorder characterized by a slow, gradual, progressive weakness and spasticity of the lower limbs. Rate of progression and the severity of symptoms are quite variable. Initial symptoms may include difficulty with balance, weakness and stiffness in the legs, muscle spasms, and dragging the toes when walking. In some forms of the disorder, bladder symptoms (such as incontinence) may appear, or the weakness and stiffness may spread to other parts of the body. SP43 is characterized by childhood onset of progressive spasticity affecting the lower and upper limbs. {ECO:0000269|PubMed:23857908}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0030567;C0037773;C0751651;C0919267;C1140680;C2680446;C3280371;C3714756	614297	615043-614298	NaN	NaN	NaN	NaN	NaN	2110.21348	NaN	0	NaN	NaN
I3L3B0;I3L3Q7;Q07021	C1QBP	Central nervous system;Metabolism;Ophthalmic system;Cardiovascular system;Muscular system;Ears;Liver;Peripheral nervous system;Kidney and urinary tract;Endocrine system	Cell death/ apoptosis	1				1	"Feichtinger, R. G., Olahova, M., Kishita, Y., Garone, C., Kremer, L. S., Yagi, M., Uchiumi, T., Jourdain, A. A., Thompson, K., D'Souza, A. R., Kopajtich, R., Alston, C. L., Koch, J., Sperl, W., Mastantuono, E., Strom, T. M., Wortmann, S. B., Meitinger, T., Pierre, G., Chinnery, P. F., Chrzanowska-Lightowlers, Z. M., Lightowlers, R. N., DiMauro, S., Calvo, S. E., Mootha, V. K., Moggio, M., Sciacco, M., Comi, G. P., Ronchi, D., Murayama, K., Ohtake, A., Rebelo-Guiomar, P., Kohda, M., Kang, D., Mayr, J. A., Taylor, R. W., Okazaki, Y., Minczuk, M., and Prokisch, H. (2017) Biallelic C1QBP Mutations Cause Severe Neonatal-, Childhood-, or Later-Onset Cardiomyopathy Associated with Combined Respiratory-Chain Deficiencies. Am. J. Hum. Genet. 101, 525-538"	"DISEASE: Combined oxidative phosphorylation deficiency 33 (COXPD33) [MIM:617713]: An autosomal recessive disorder caused by multiple mitochondrial respiratory chain defects and impaired mitochondrial energy metabolism. Clinical manifestations are highly variable. Affected infants present with cardiomyopathy accompanied by multisystemic features involving liver, kidney, and brain. Death in infancy is observed in some patients. Children and adults present with myopathy and progressive external ophthalmoplegia. {ECO:0000269|PubMed:28942965}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0006142;C0678222;C0751651;C1257931;C1458155;C4540209	601269	617713	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q8N8R5	C2orf69	Central nervous system;Metabolism;Ophthalmic system;Failure to thrive;Cardiovascular system;Muscular system;Liver;Hematologic system;Others	Unknown	1				1	"Lausberg E, Gießelmann S, Dewulf JP, Wiame E, Holz A, Salvarinova R, van Karnebeek CD, Klemm P, Ohl K, Mull M, Braunschweig T, Weis J, Sommer CJ, Demuth S, Haase C, Stollbrink-Peschgens C, Debray FG, Libioulle C, Choukair D, Oommen PT, Borkhardt A, Surowy H, Wieczorek D, Wagner N, Meyer R, Eggermann T, Begemann M, Van Schaftingen E, Häusler M, Tenbrock K, van den Heuvel L, Elbracht M, Kurth I, Kraft F. C2orf69 mutations disrupt mitochondrial function and cause a multisystem human disorder with recurring autoinflammation. J Clin Invest. 2021 Jun 15;131(12):e143078. Wong HH, Seet SH, Maier M, Gurel A, Traspas RM, Lee C, Zhang S, Talim B, Loh AYT, Chia CY, Teoh TS, Sng D, Rensvold J, Unal S, Shishkova E, Cepni E, Nathan FM, Sirota FL, Liang C, Yarali N, Simsek-Kiper PO, Mitani T, Ceylaner S, Arman-Bilir O, Mbarek H, Gumruk F, Efthymiou S, U_urlu Çi Men D, Georgiadou D, Sotiropoulou K, Houlden H, Paul F, Pehlivan D, Lainé C, Chai G, Ali NA, Choo SC, Keng SS, Boisson B, Yılmaz E, Xue S, Coon JJ, Ly TTN, Gilani N, Hasbini D, Kayserili H, Zaki M, Isfort RJ, Ordonez N, Tripolszki K, Bauer P, Rezaei N, Seyedpour S, Khotaei GT, Bascom CC, Maroofian R, Chaabouni M, Alsubhi A, Eyaid W, I_ıkay S, Gleeson JG, Lupski JR, Casanova JL, Pagliarini DJ, Akarsu NA, Maurer-Stroh S, Cetinkaya A, Bertoli-Avella A, Mathuru AS, Ho L, Bard FA, Reversade B. Loss of C2orf69 defines a fatal autoinflammatory syndrome in humans and zebrafish that evokes a glycogen storage-associated mitochondriopathy. Am J Hum Genet. 2021 May 21:S0002-9297(21)00187-7."			619219		NaN	72.90777771	Class 1	-1.526677271	0.00042292	4509.657125	73639.86667	Peripheral	25.11295622	90.72619539
P35218	CA5A	Central nervous system;Metabolism;Pulmonary system 	Other known processes	1				1		"DISEASE: Hyperammonemia due to carbonic anhydrase VA deficiency (CA5AD) [MIM:615751]: An autosomal recessive inborn error of metabolism, clinically characterized by infantile hyperammonemic encephalopathy. Metabolic abnormalities include hypoglycemia, hyperlactatemia, metabolic acidosis and respiratory alkalosis. {ECO:0000269|PubMed:24530203}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0220994;C3714756;C3810404	114761	615751	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0
Q9HA77	CARS2	Central nervous system;Metabolism;Ophthalmic system;Failure to thrive;Ears;Liver	tRNA related processes	1				1	"Coughlin, C. R., 2nd, Scharer, G. H., Friederich, M. W., Yu, H. C., Geiger, E. A., Creadon-Swindell, G., Collins, A. E., Vanlander, A. V., Coster, R. V., Powell, C. A., Swanson, M. A., Minczuk, M., Van Hove, J. L., and Shaikh, T. H. (2015) Mutations in the mitochondrial cysteinyl-tRNA synthase gene, CARS2, lead to a severe epileptic encephalopathy and complex movement disorder. J Med Genet 52, 532-540;Hallmann, K., Zsurka, G., Moskau-Hartmann, S., Kirschner, J., Korinthenberg, R., Ruppert, A. K., Ozdemir, O., Weber, Y., Becker, F., Lerche, H., Elger, C. E., Thiele, H., Nurnberg, P., Sander, T., and Kunz, W. S. (2014) A homozygous splice-site mutation in CARS2 is associated with progressive myoclonic epilepsy. Neurology 83, 2183-2187"	"DISEASE: Combined oxidative phosphorylation deficiency 27 (COXPD27) [MIM:616672]: An autosomal recessive mitochondrial disorder characterized by multiple mitochondrial respiratory-chain-complex deficiencies causing neurological regression, progressive cognitive decline, complex movement disorder, epileptic encephalopathy, progressive spastic tetraparesis, and progressive impairment of vision and hearing. {ECO:0000269|PubMed:25361775, ECO:0000269|PubMed:25787132}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0751651;C3714756;C4225251	612800	616672	112.4701917	135.2129504	Class 1	-1.375666636	0.000200695	404846.992	317144.6667	Peripheral	19.45060076	81.16631938
Q8WYQ3	CHCHD10	Central nervous system;Metabolism;Pulmonary system ;Muscular system;Ears;Gastrointestinal system;Peripheral nervous system;Others	"Morphology, dynamics & organization"	1				1	"Ajroud-Driss, S., Fecto, F., Ajroud, K., Lalani, I., Calvo, S. E., Mootha, V. K., Deng, H. X., Siddique, N., Tahmoush, A. J., Heiman-Patterson, T. D., and Siddique, T. (2015) Mutation in the novel nuclear-encoded mitochondrial protein CHCHD10 in a family with autosomal dominant mitochondrial myopathy. Neurogenetics 16, 1-9"	"DISEASE: Frontotemporal dementia and/or amyotrophic lateral sclerosis 2 (FTDALS2) [MIM:615911]: A neurodegenerative disorder characterized by frontotemporal dementia and/or amyotrophic lateral sclerosis in affected individuals. There is high intrafamilial variation. Frontotemporal dementia is characterized by frontal and temporal lobe atrophy associated with neuronal loss, gliosis, and dementia. Patients exhibit progressive changes in social, behavioral, and/or language function. Amyotrophic lateral sclerosis is characterized by the death of motor neurons in the brain, brainstem, and spinal cord, resulting in fatal paralysis. {ECO:0000269|PubMed:24934289, ECO:0000269|PubMed:25155093}. Note=The disease is caused by mutations affecting the gene represented in this entry. The pathological events leading to disease involve fragmentation of the mitochondrial network, mitochondrial ultrastructural abnormalities including loss, disorganization and dilatation of cristae, and mitochondrial dysfunction associated with respiratory chain deficiency (PubMed:24934289). {ECO:0000269|PubMed:24934289}.;DISEASE: Myopathy, isolated mitochondrial, autosomal dominant (IMMD) [MIM:616209]: A mitochondrial myopathy presenting with severe exercise intolerance, progressive proximal weakness, and lactic acidemia. The disorder is slowly progressive, with later involvement of facial muscles, muscles of the upper limbs, and distal muscles. {ECO:0000269|PubMed:25193783}. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Spinal muscular atrophy, Jokela type (SMAJ) [MIM:615048]: An autosomal dominant, slowly progressive, lower motor neuron disease. SMAJ is characterized by adult-onset of muscle cramps and fasciculations affecting the proximal and distal muscles of the upper and lower limbs. The disorder results in weakness and mild muscle atrophy later in life. {ECO:0000269|PubMed:25428574}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0002736;C0003886;C0007959;C0270960;C0751651;C3554398;C3888102;C4014648;C4015513	615903	615903-615911-615048	7.013582295	NaN	Class 1	-1.314872796	0.000596485	68812.32017	NaN	Ambiguous	30.49500063	26.73445776
Q9Y6H1	CHCHD2	Central nervous system	DNA-related processes	1				1		"DISEASE: Parkinson disease 22 (PARK22) [MIM:616710]: An autosomal dominant form of Parkinson disease, a complex neurodegenerative disorder characterized by bradykinesia, resting tremor, muscular rigidity and postural instability, as well as by a clinically significant response to treatment with levodopa. The pathology involves the loss of dopaminergic neurons in the substantia nigra and the presence of Lewy bodies (intraneuronal accumulations of aggregated proteins), in surviving neurons in various areas of the brain. {ECO:0000269|PubMed:25662902}. Note=The gene represented in this entry may be involved in disease pathogenesis."	C0030567;C4225238	616244	616710	NaN	2.622992578	Class 4	-0.415314821	0.015506507	760035.5811	1437253.333	Ambiguous	19.26438676	32.25292496
Q9H078	CLPB	"Central nervous system;Metabolism;Ophthalmic system;Congenital anomalies and dysmorphisms, intrauterine abnormalities;Cardiovascular system;Gastrointestinal system;Hematologic system;Endocrine system;Tumors"	Other known processes	1				1	"Saunders, C., Smith, L., Wibrand, F., Ravn, K., Bross, P., Thiffault, I., Christensen, M., Atherton, A., Farrow, E., Miller, N., Kingsmore, S. F., and Ostergaard, E. (2015) CLPB variants associated with autosomal-recessive mitochondrial disorder with cataract, neutropenia, epilepsy, and methylglutaconic aciduria. Am. J. Hum. Genet. 96, 258-265;Wortmann, S. B., Zietkiewicz, S., Kousi, M., Szklarczyk, R., Haack, T. B., Gersting, S. W., Muntau, A. C., Rakovic, A., Renkema, G. H., Rodenburg, R. J., Strom, T. M., Meitinger, T., Rubio-Gozalbo, M. E., Chrusciel, E., Distelmaier, F., Golzio, C., Jansen, J. H., van Karnebeek, C., Lillquist, Y., Lucke, T., Ounap, K., Zordania, R., Yaplito-Lee, J., van Bokhoven, H., Spelbrink, J. N., Vaz, F. M., Pras-Raves, M., Ploski, R., Pronicka, E., Klein, C., Willemsen, M. A., de Brouwer, A. P., Prokisch, H., Katsanis, N., and Wevers, R. A. (2015) CLPB mutations cause 3-methylglutaconic aciduria, progressive brain atrophy, intellectual disability, congenital neutropenia, cataracts, movement disorder. Am. J. Hum. Genet. 96, 245-257"	"DISEASE: 3-methylglutaconic aciduria with cataracts, neurologic involvement and neutropenia (MEGCANN) [MIM:616271]: An autosomal recessive inborn error of metabolism with a highly variable phenotype. Primary disease symptoms are increased levels of 3-methylglutaconic acid, neurologic deterioration and neutropenia. Other common features include progressive encephalopathy, movement abnormalities, delayed psychomotor development, cataracts, seizures, and recurrent infections. {ECO:0000269|PubMed:25597510, ECO:0000269|PubMed:25597511}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0751651;C3714756;C4225393	616254	616271	96.43619936	NaN	Class 1	-1.112135984	0.000510068	227913.9087	223755.6667	Peripheral	9.675463031	90.59467716
Q16740	CLPP	"Central nervous system;Congenital anomalies and dysmorphisms, intrauterine abnormalities;Ears;Endocrine system;Reproductive system"	Protein maturation & folding	1				1	"Ahmed, S., Jelani, M., Alrayes, N., Mohamoud, H. S., Almramhi, M. M., Anshasi, W., Ahmed, N. A., Wang, J., Nasir, J., and Al-Aama, J. Y. (2015) Exome analysis identified a novel missense mutation in the CLPP gene in a consanguineous Saudi family expanding the clinical spectrum of Perrault Syndrome type-3. J Neurol Sci 353, 149-154"	"DISEASE: Perrault syndrome 3 (PRLTS3) [MIM:614129]: A sex-influenced disorder characterized by sensorineural deafness in both males and females, and ovarian dysgenesis in females. Affected females have primary amenorrhea, streak gonads, and infertility, whereas affected males show normal pubertal development and are fertile. A spectrum of additional clinical features, including cerebellar ataxia, learning disability, and peripheral neuropathy, have been described in some PRLTS3 affected individuals. {ECO:0000269|PubMed:23541340, ECO:0000269|PubMed:25956234}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0685838;C0751651;C3714756;C3808414	601119	614129	192.6716195	NaN	Class 1	-2.052981889	0.000129085	657773.6278	824653.3333	Peripheral	7.798733521	82.34227192
O76031	CLPX	Metabolism;Hematologic system;Integumentary system	Protein maturation & folding	1				1		"DISEASE: Protoporphyria, erythropoietic, 2 (EPP2) [MIM:618015]: An autosomal dominant form of porphyria with onset in infancy. Porphyrias are inherited defects in the biosynthesis of heme, resulting in the accumulation and increased excretion of porphyrins or porphyrin precursors. They are classified as erythropoietic or hepatic, depending on whether the enzyme deficiency occurs in red blood cells or in the liver. Erythropoietic protoporphyria is marked by excessive protoporphyrin in erythrocytes, plasma, liver and feces, and by widely varying photosensitive skin changes ranging from a burning or pruritic sensation to erythema, edema and wheals. {ECO:0000269|PubMed:28874591}. Note=The disease may be caused by mutations affecting the gene represented in this entry."		615611	618015	50.71941062	74.27576615	Class 1	-2.312378516	5.01267E-05	313890.2653	301918.3333	Peripheral	7.826025639	92.86406822
Q9Y2R0	COA3	"Central nervous system;Metabolism;Congenital anomalies and dysmorphisms, intrauterine abnormalities;Peripheral nervous system;Skeletal system;Others"	OXPHOS assembly & stability	1				1	"Ostergaard, E., Weraarpachai, W., Ravn, K., Born, A. P., Jonson, L., Duno, M., Wibrand, F., Shoubridge, E. A., and Vissing, J. (2015) Mutations in COA3 cause isolated complex IV deficiency associated with neuropathy, exercise intolerance, obesity, and short stature. J Med Genet 52, 203-207"		C0268237;C0751651;C3714756	614775		54.7797608	NaN	Class 1	-2.813286095	8.37107E-05	1117642.108	1189298.667	Integral	92.6714864	92.20261067
Q86WW8	COA5	Cardiovascular system	OXPHOS assembly & stability	1				1	"Huigsloot, M., Nijtmans, L. G., Szklarczyk, R., Baars, M. J., van den Brand, M. A., Hendriksfranssen, M. G., van den Heuvel, L. P., Smeitink, J. A., Huynen, M. A., and Rodenburg, R. J. (2011) A mutation in C2orf64 causes impaired cytochrome c oxidase assembly and mitochondrial cardiomyopathy. Am. J. Hum. Genet. 88, 488-493"	"DISEASE: Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 3 (CEMCOX3) [MIM:616500]: An infantile disorder with a fatal course in the first weeks of life, characterized by hypertrophic cardiomyopathy and mitochondrial complex IV deficiency. Postmortem microscopic investigations show accumulation of lipid droplets in cardiomyocytes and mitochondrial proliferation. {ECO:0000269|PubMed:21457908}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0007194;C0268237;C0751651;C1858424;C3714756;C4225154	613920	616500	7.339780303	NaN	NaN	NaN	NaN	52796.21244	52235.7	0	NaN	55.32826435
Q5JTJ3	COA6	"Central nervous system;Metabolism;Congenital anomalies and dysmorphisms, intrauterine abnormalities;Cardiovascular system;Pulmonary system ;Muscular system"	OXPHOS assembly & stability	1				1	"Baertling, F., M, A. M. v. d. B., Hertecant, J. L., Al-Shamsi, A., L, P. v. d. H., Distelmaier, F., Mayatepek, E., Smeitink, J. A., Nijtmans, L. G., and Rodenburg, R. J. (2015) Mutations in COA6 cause cytochrome c oxidase deficiency and neonatal hypertrophic cardiomyopathy. Hum Mutat 36, 34-38;Calvo, S. E., Compton, A. G., Hershman, S. G., Lim, S. C., Lieber, D. S., Tucker, E. J., Laskowski, A., Garone, C., Liu, S., Jaffe, D. B., Christodoulou, J., Fletcher, J. M., Bruno, D. L., Goldblatt, J., Dimauro, S., Thorburn, D. R., and Mootha, V. K. (2012) Molecular diagnosis of infantile mitochondrial disease with targeted next-generation sequencing. Sci Transl Med 4, 118ra110;Ghosh, A., Trivedi, P. P., Timbalia, S. A., Griffin, A. T., Rahn, J. J., Chan, S. S., and Gohil, V. M. (2014) Copper supplementation restores cytochrome c oxidase assembly defect in a mitochondrial disease model of COA6 deficiency. Hum Mol Genet 23, 3596-3606"	"DISEASE: Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 4 (CEMCOX4) [MIM:616501]: An infantile disorder with a fatal course in the first weeks of life, characterized by hypertrophic cardiomyopathy, left ventricular non-compaction, lactic acidosis, metabolic hypotonia, and mitochondrial complex IV deficiency. {ECO:0000269|PubMed:24549041, ECO:0000269|PubMed:25339201, ECO:0000269|PubMed:25959673}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0751651;C1858424;C4225304	614772	616501	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN
Q96BR5	COA7	Central nervous system;Metabolism;Muscular system;Peripheral nervous system;Skeletal system	OXPHOS assembly & stability	1				1	"Martinez Lyons, A., Ardissone, A., Reyes, A., Robinson, A. J., Moroni, I., Ghezzi, D., Fernandez-Vizarra, E., and Zeviani, M. (2016) COA7 (C1orf163/RESA1) mutations associated with mitochondrial leukoencephalopathy and cytochrome c oxidase deficiency. J Med Genet 53, 846-849"		C0268237	615623	618387	63.83292893	103.8962604	Class 1	-2.056563449	0.000940783	264627.0758	405952.3333	Soluble	4.697606328	19.87940091
Q13057	COASY	"Central nervous system;Metabolism;Congenital anomalies and dysmorphisms, intrauterine abnormalities;Peripheral nervous system;Skeletal system"	Cofactor metabolism	1				1	"Dusi, S., Valletta, L., Haack, T. B., Tsuchiya, Y., Venco, P., Pasqualato, S., Goffrini, P., Tigano, M., Demchenko, N., Wieland, T., Schwarzmayr, T., Strom, T. M., Invernizzi, F., Garavaglia, B., Gregory, A., Sanford, L., Hamada, J., Bettencourt, C., Houlden, H., Chiapparini, L., Zorzi, G., Kurian, M. A., Nardocci, N., Prokisch, H., Hayflick, S., Gout, I., and Tiranti, V. (2014) Exome sequence reveals mutations in CoA synthase as a cause of neurodegeneration with brain iron accumulation. Am. J. Hum. Genet. 94, 11-22"	"DISEASE: Neurodegeneration with brain iron accumulation 6 (NBIA6) [MIM:615643]: A neurodegenerative disorder associated with iron accumulation in the brain, primarily in the basal ganglia. It is characterized by progressive motor and cognitive dysfunction beginning in childhood or young adulthood. Patients show extrapyramidal motor signs, such as spasticity, dystonia, and parkinsonism. {ECO:0000269|PubMed:24360804}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C3714756;C3810230	609855	615643-618266	113.8896875	178.2199569	Class 2	-1.347025567	0.013122917	27059.86332	176238.3333	Peripheral	19.96955488	94.21003154
Q96H96	COQ2	Central nervous system;Metabolism;Ophthalmic system;Muscular system;Liver;Hematologic system;Kidney and urinary tract	Cofactor metabolism	1				1	"Quinzii, C., Naini, A., Salviati, L., Trevisson, E., Navas, P., Dimauro, S., and Hirano, M. (2006) A mutation in para-hydroxybenzoate-polyprenyl transferase (COQ2) causes primary coenzyme Q10 deficiency. Am. J. Hum. Genet.  78, 345-349"	"a multisystem infantile form with encephalopathy, cardiomyopathy and renal failure;a predominantly cerebellar form with ataxia and cerebellar atrophy;and an isolated myopathic form. {ECO:0000269|PubMed:16400613, ECO:0000269|PubMed:17374725, ECO:0000269|PubMed:17855635, ECO:0000269|PubMed:23343605, ECO:0000269|PubMed:25564041, ECO:0000269|PubMed:27493029, ECO:0000269|PubMed:28044327}. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Coenzyme Q10 deficiency, primary, 1 (COQ10D1) [MIM:607426]: An autosomal recessive disorder with variable manifestations consistent with 5 major phenotypes. The phenotypes include an encephalomyopathic form with seizures and ataxia;DISEASE: Multiple system atrophy 1 (MSA1) [MIM:146500]: A progressive neurodegenerative disorder clinically characterized by parkinsonism, cerebellar ataxia, and autonomic, urogenital, and pyramidal dysfunction in various combinations. Pathologically, it is characterized by degeneration of striatonigral and olivopontocerebellar structures, and glial cytoplasmic inclusions that consist of abnormally phosphorylated alpha-synuclein or tau. {ECO:0000269|PubMed:23758206}. Note=Disease susceptibility is associated with variations affecting the gene represented in this entry.;Leigh syndrome with growth retardation"		609825	607426-146500	57.18841173	NaN	Class 2	-1.473259403	0.017122062	2722.355623	7823.836667	0	NaN	NaN
Q9Y3A0	COQ4	"Central nervous system;Metabolism;Congenital anomalies and dysmorphisms, intrauterine abnormalities;Cardiovascular system;Pulmonary system ;Peripheral nervous system"	Cofactor metabolism	1				1	"Brea-Calvo, G., Haack, T. B., Karall, D., Ohtake, A., Invernizzi, F., Carrozzo, R., Kremer, L., Dusi, S., Fauth, C., Scholl-Burgi, S., Graf, E., Ahting, U., Resta, N., Laforgia, N., Verrigni, D., Okazaki, Y., Kohda, M., Martinelli, D., Freisinger, P., Strom, T. M., Meitinger, T., Lamperti, C., Lacson, A., Navas, P., Mayr, J. A., Bertini, E., Murayama, K., Zeviani, M., Prokisch, H., and Ghezzi, D. (2015) COQ4 mutations cause a broad spectrum of mitochondrial disorders associated with CoQ10 deficiency. Am. J. Hum. Genet.  96, 309-317;Chung, W. K., Martin, K., Jalas, C., Braddock, S. R., Juusola, J., Monaghan, K. G., Warner, B., Franks, S., Yudkoff, M., Lulis, L., Rhodes, R. H., Prasad, V., Torti, E., Cho, M. T., and Shinawi, M. (2015) Mutations in COQ4, an essential component of coenzyme Q biosynthesis, cause lethal neonatal mitochondrial encephalomyopathy. J Med Genet 52, 627-635"	"DISEASE: Coenzyme Q10 deficiency, primary, 7 (COQ10D7) [MIM:616276]: An autosomal recessive disorder resulting from mitochondrial dysfunction and characterized by decreased levels of coenzyme Q10, and severe cardiac or neurologic symptoms soon after birth, usually resulting in death. Rarely, symptoms may have later onset. {ECO:0000269|PubMed:25658047, ECO:0000269|PubMed:26741492}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0543888;C0751651;C3714756;C4225392	612898	616276	NaN	NaN	Class 4	0.216323227	0.330305985	23474.05347	13077.36667	Peripheral	48.74370485	89.03186729
Q5HYK3	COQ5	Central nervous system;Others	Cofactor metabolism	1				1	"Malicdan, M. C. V., Vilboux, T., Ben-Zeev, B., Guo, J., Eliyahu, A., Pode-Shakked, B., Dori, A., Kakani, S., Chandrasekharappa, S. C., Ferreira, C. R., Shelestovich, N., Marek-Yagel, D., Pri-Chen, H., Blatt, I., Niederhuber, J. E., He, L., Toro, C., Taylor, R. W., Deeken, J., Yardeni, T., Wallace, D. C., Gahl, W. A., and Anikster, Y. (Oct 16 2017) A novel inborn error of the coenzyme Q10 biosynthesis pathway: cerebellar ataxia and static encephalomyopathy due to COQ5 C-methyltransferase deficiency. Hum. Mutat. 10.1002/humu.23345"		C0020796;C0025363;C0917816;C3714756	616359		15.24102516	NaN	Class 1	-1.525271309	0.000302057	157613.1434	143610.6667	Peripheral	10.36093943	92.93242869
Q9Y2Z9	COQ6	"Central nervous system;Congenital anomalies and dysmorphisms, intrauterine abnormalities;Ears;Kidney and urinary tract"	Cofactor metabolism	1				1	"Heeringa, S. F., Chernin, G., Chaki, M., Zhou, W., Sloan, A. J., Ji, Z., Xie, L. X., Salviati, L., Hurd, T. W., Vega-Warner, V., Killen, P. D., Raphael, Y., Ashraf, S., Ovunc, B., Schoeb, D. S., McLaughlin, H. M., Airik, R., Vlangos, C. N., Gbadegesin, R., Hinkes, B., Saisawat, P., Trevisson, E., Doimo, M., Casarin, A., Pertegato, V., Giorgi, G., Prokisch, H., Rotig, A., Nurnberg, G., Becker, C., Wang, S., Ozaltin, F., Topaloglu, R., Bakkaloglu, A., Bakkaloglu, S. A., Muller, D., Beissert, A., Mir, S., Berdeli, A., Varpizen, S., Zenker, M., Matejas, V., Santos-Ocana, C., Navas, P., Kusakabe, T., Kispert, A., Akman, S., Soliman, N. A., Krick, S., Mundel, P., Reiser, J., Nurnberg, P., Clarke, C. F., Wiggins, R. C., Faul, C., and Hildebrandt, F. (2011) COQ6 mutations in human patients produce nephrotic syndrome with sensorineural deafness. J Clin Invest 121, 2013-2024"	"DISEASE: Coenzyme Q10 deficiency, primary, 6 (COQ10D6) [MIM:614650]: An autosomal recessive disorder characterized by onset in infancy of severe progressive nephrotic syndrome resulting in end-stage renal failure and sensorineural deafness. Renal biopsy usually shows focal segmental glomerulosclerosis. {ECO:0000269|PubMed:21540551, ECO:0000269|PubMed:28044327}. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Note=Mutations in COQ6 may play a role in susceptibility to Schwannomatosis, a cancer predisposition syndrome in which patients develop multiple non-vestibular schwannomas, benign neoplasms that arise from Schwann cells of the cranial, peripheral, and autonomic nerves. {ECO:0000269|PubMed:24763291}."	C0543888;C0751651;C0917817;C1335929;C2931480;C3553349	614647	614650	70.86412985	NaN	Class 1	-1.280277877	0.000373279	132090.5484	9775100	Peripheral	15.64193098	93.66486772
